"General","Allgemein"
"trustedshops_en.jpg","trustedshops_de.jpg"
"Get your account","Erstellen Sie Ihren Account"
"http://www.trustbadge.com/en/pricing/","http://www.trustbadge.com/de/preise/"
"The Trusted Shops ID is a unique identifier for your shop. You can find your Trusted Shops ID in your confirmation email after signing up.","Die Trusted Shops ID identifiziert Ihren Shop eindeutig bei Trusted Shops. Sie wird Ihnen in der Bestätigungsmail Ihrer Anmeldung zugesendet."
"Mode","Modus"
"Expert","Experte"
"Variant","Variante"
"Vertical Offset","Vertikaler Abstand (in px)"
"Display Trustbadge with review stars","Trustbadge mit Bewertungssternchen anzeigen"
"Display Trustbadge without review stars","Trustbadge ohne Bewertungssternchen anzeigen"
"Don't show Trustbadge","Trustbadge ausblenden"
"Adjust the y-axis position of your Trustbadge up to 250px vertically from the lower right corner of your shop.","Wählen Sie einen Abstand für das Trustbadge von 0-250px vom rechten unteren Rand Ihres Shops."
"Trustbadge code","Trustbadge Code"
"Collect Reviews and enable money-back guarantee on your Thank you page","Auf der Bestellbestätigungsseite Reviews sammeln und die Geld-zurück-Garantie anbieten"
"Product Reviews","Produktbewertungen"
"Collect Product Reviews","Produktbewertungen sammeln"
"More Traffic, less returns:<br/>Make sure to unlock unlimited Product Reviews in your Trusted Shops plan","Mehr Traffic, weniger Retouren:<br/>Schalten Sie unbegrenzte Produktbewertungen in Ihrem Trusted Shops Paket frei"
"Product Review Sticker","Produktbewertungen im Shop"
"Show Product Reviews on Product Detail page on additional tab ""Trusted Shops Reviews""","Produktbewertungen auf der Produktseite in einem zusätzlichen Reiter anzeigen"
"Border Colour","Rahmenfarbe"
"Star Colour","Farbe der Sterne"
"Code for Product Review Sticker","Code für Produktbewertungen"
"Product Review Stars","Produktbewertungssterne"
"Show Star ratings on Product Detail Page below your Product Name","Produktbewertungen auf der Produktdetailseite unter dem Produktnamen anzeigen"
"Please note that the Product Review Stars will only appear after the product has received its first review.","Bitte beachten Sie, dass die Produktbewertungssterne erst ab der ersten Produktbewertung angezeigt werden."
"Star Colour","Farbe der Sterne"
"Star Size","Größe der Sterne"
"Font Size","Schriftgröße"
"Code for Product Review Stars","Code für Produktbewertungssterne"
"Use additional options to customize your Trusted Shops Integration or use the latest code version here. E.g.:","Hier können Sie Ihre Trusted Shops Integration detaillierter konfigurieren oder den neuesten Code einbinden:"
"Place your Trustbadge wherever you want","Platzieren Sie Ihr Trustbadge wo immer Sie möchten"
"Deactivate mobile use","Deaktivieren Sie die mobile Anzeige"
"Jump from your Product Reviews stars directly to your Product Reviews","Springen Sie durch einen Klick von Ihren Produktbewertungssternen direkt zu Ihren Produktbewertungen"
"Learn more about %s options and %s configuration.","Erfahren Sie mehr über Einstellungsmöglichkeiten des %s oder von %s."
"http://www.trustedshops.co.uk/support/trustbadge/trustbadge-custom/","http://www.trustedshops.de/shopbetreiber/integration/trustbadge/trustbadge-custom/"
"http://www.trustedshops.co.uk/support/product-reviews/","http://www.trustedshops.de/shopbetreiber/integration/product-reviews/"
"Trusted Shops Reviews","Trusted Shops Bewertungen"
"Additional Product Attributes","Weitere Produktattribute"
"These attributes for Product Reviews are optional and not integrated within Magento standard. You can choose from the product attributes which you have manually added to fill these fields. In this way you can use Google Shopping or improve your data analysis possibilities.","Diese Attribute für Produktbewertungen sind nicht im Magento-Standard enthalten. Sie können diese Felder aber mit den Produktattributen belegen, die Sie manuell hinzugefügt haben. Auf diese Weise können Sie Google Shopping nutzen oder Ihre Datenanalysemöglichkeiten erweitern."
"This is the product identification code for trade items. If you use Google Shopping and want to display your review stars in Shopping and payed product ads, this information is necessary for Google. It also helps in matching your products. Trusted Shops highly recommends to use this option.","Identifikationsnummer, mit der Produkte und Packstücke weltweit eindeutig identifiziert werden können. Wenn Sie Google Shopping nutzen und Ihre Bewertungssterne in Shopping und bezahlten Produktanzeigen ausspielen möchten, benötigt Google die GTIN. Sie hilft außerdem Ihre Produkte zuzuordnen. Trusted Shops empfiehlt dringend, diese Option zu nutzen."
"This is the brand name of the product. By setting this variable you can improve your data analysis possibilities","Markenname des Produkts. Durch Übergeben dieser Variablen verbessern Sie Ihre Analysemöglichkeiten."
"Number that associates the product to its manufacturer","Kennzahl die das Produkt eindeutig einem bestimmten Hersteller zuordnet"
"Review Tab Label","Bezeichnung für Produktbewertungs-Reiter"
"Yes","Ja"
"No","Nein"
"The MyTS credentials used for authentication with the TrustedShops API are incorrect. Ensure you are logged into MyTS within the Magento 2 Backend using the correct credentials of your TrustedShops account. If your MyTS password was recently changed, try logging out and back in.","Die MyTS-Zugangsdaten für die Authentifizierung mit der TrustedShops-API sind ungültig. Stellen Sie sicher, dass Sie im Magento 2 Backend mit den korrekten TrustedShops-Zugangsdaten angemeldet sind. Wenn Sie ihr MyTS-Passwort kürzlich geändert haben, versuchen Sie sich aus- und wieder einzuloggen."
"Confirmation: Review invites from Trusted Shops","Bestätigung: Bewertungserinnerungen von Trusted Shops"
"Thank you for subscribing to Trusted Shops review invites. In order for us to improve our products and our service quality for you, your regular feedback is important to us.","Vielen Dank, dass Sie Trusted Shops Bewertungserinnerungen abonniert haben. Damit wir unsere Produkte und unsere Servicequalität für Sie verbessern können, ist uns Ihr regelmäßiges Feedback wichtig."
"Please confirm your e-mail address %email to receive review reminders after each purchase:","Bitte bestätigen Sie Ihre E-Mailadresse %email, um Bewertungserinnerungen nach jedem Einkauf zu empfangen:"
"Consent can be revoked at any time with effect for the future by sending us a message or clicking on the unsubscribe link in the e-mails.","Die Einwilligung kann jederzeit durch eine Nachricht an uns oder einen Klick auf den Abmeldelink in den E-Mails mit Wirkung für die Zukunft widerrufen werden."
"I would like to receive a review invite by e-mail from Trusted Shops after each purchase. I can revoke my consent at any time.","Ich möchte nach jedem Einkauf eine Bewertungserinnerung per E-Mail von Trusted Shops erhalten. Ich kann meine Einwilligung jederzeit widerrufen."
"Thank you for confirming your participation in the review invites.<br /> You can unsubscribe at any time within the emails.","Vielen Dank für die Bestätigung zur Teilnahme an den Bewertungsemails.<br /> Sie haben jederzeit die Möglichkeit sich innerhalb der E-Mails wieder abzumelden."
